X,Y,objectid,numero_estacion,nombre_estacion,coordenada_x_estacion,coordenada_y_estacion,ubicacion_estacion,troncal_estacion,numero_vagones_estacion,numero_accesos_estacion,biciestacion_estacion,capacidad_biciestacion_estacion,tipo_estacion,biciparqueadero_estacion,latitud_estacion,longitud_estacion,globalid,created_user,created_date,last_edited_user,last_edited_date,lo_replica,codigo_nodo_estacion,componente_wifi,componente_aplificacion
-74.0841673360414,4.62341043580574,15,07109,CAD,999261.073,1003008.9268,Kr 30 Cl 26,NQS,2,2,0,0,4,0,4.62341044,-74.08416734,{9EBA1926-C65C-4321-88CE-3E4D0B0D502C},,,TECNICA,2022/08/24 16:41:59+00,,7109,Valor SI al campo,
-74.0590124330061,4.67599399036829,16,02302,Virrey,1002052.1007,1008823.7225,Calle 90,Autonorte,3,1,0,0,4,0,4.67599399,-74.05901243,{FD61E9BC-1754-4276-8861-7DFAC580A53B},,,TECNICA,2022/06/02 16:24:05+00,,2302,Valor SI al campo,Valor SI al campo
-74.0774012808525,4.6818209473412,17,04105,Carrera 53,1000011.8313,1009468.0501,Carrera 53,Calle 80,1,1,0,0,4,0,4.68182095,-74.07740128,{DCAADFBF-3830-40E6-80A8-85A3B5A1A8F4},,,TECNICA,2022/08/24 16:48:12+00,,4105,Valor SI al campo,
-74.1045624073762,4.70468166892437,18,04002,Carrera 90,996998.3875,1011996.0859,Carrera 90,Calle 80,1,1,0,0,4,0,4.70468167,-74.10456241,{3B7B5C42-38C7-4783-920F-2210E195F285},,,TECNICA,2022/04/22 15:51:06+00,,4002,,
-74.0713102127949,4.67015567406064,19,07102,NQS - Calle 75,1000687.6499,1008178.0879,Kr 30 - Cl 75A,NQS,4,1,0,0,4,0,4.67015567,-74.07131021,{418E321A-0841-40AA-B2B4-0B6999EB0DB7},,,TECNICA,2022/04/22 15:51:06+00,,7102,,
-74.077662891166,4.65729067517778,20,07104,Simón Bolívar,999982.8049,1006755.4525,Kr 30 CL 63,NQS,2,1,0,0,4,0,4.65729068,-74.07766289,{BA5661DA-DC4E-4638-B29E-4E88CFB68018},,,TECNICA,2022/04/22 15:51:06+00,,7104,,
-74.110506257108,4.70982947984633,21,04000,Portal de la 80,996338.9625,1012565.3683,Carrera 96,Calle 80,0,0,1,353,1,1,4.70982948,-74.11050626,{68BFA6D3-A142-48DF-B376-F9EB5778A3E4},,,TECNICA,2022/08/24 16:52:40+00,,4000,Valor SI al campo,
-74.0667693895375,4.63755688214794,22,09118,Marly,1001191.5198,1004573.2678,Calle 51 - Calle 49,Caracas,3,2,0,0,4,0,4.63755688,-74.06676939,{481A615A-BBA0-49F1-B31B-6C1AE7B00414},,,TECNICA,2022/08/24 16:52:15+00,,9118,Valor SI al campo,
-74.0648617313407,4.64840372288738,23,09120,Calle 63,1001403.1673,1005772.7318,Calle 63 - Calle 60,Caracas,3,2,0,0,4,0,4.64840372,-74.06486173,{E217B390-A552-4B28-B08E-57080C60CD29},,,TECNICA,2022/08/24 16:48:01+00,,9120,Valor SI al campo,
-74.1106425459727,4.5973705235716,24,07009,SENA,996323.2583,1000129.4773,AutoSur-Cl 17 S,NQS,2,1,0,0,4,0,4.59737052,-74.11064255,{5F4DB433-11C2-4DF7-A097-48EEB2455514},,,TECNICA,2022/08/24 16:56:28+00,,7009,Valor SI al campo,
-74.1693979868057,4.59701268579803,25,07000,Portal del Sur,989803.5272,1000090.4772,AutoSur-Kr 82,NQS,0,0,1,220,1,1,4.59701269,-74.16939799,{57B93C12-D21A-4D57-9D53-A6920ECA431F},,,TECNICA,2022/08/24 16:52:47+00,,7000,Valor SI al campo,
-74.0938688766199,4.61168619527402,26,07111,Ricaurte - NQS,998184.5634,1001712.4604,Kr 30 Cl 10,NQS,3,2,1,165,3,1,4.6116862,-74.09386888,{5B85E459-B64D-4659-8490-2609AFECE587},,,TECNICA,2022/04/22 15:51:06+00,,7111,,
-74.0514538784185,4.72115729506492,27,02200,Alcalá,1002890.5473,1013817.9858,Calle 137,Autonorte,3,2,0,0,4,0,4.7211573,-74.05145388,{89BAFA32-9CED-4F98-8D85-7C5CBE737ACE},,,TECNICA,2022/06/02 16:22:42+00,,2200,Valor NO al campo,Valor SI al campo
-74.0620685403827,4.65823884249961,28,09122,Calle 72,1001713.0642,1006860.3211,Calle 72 - Calle 70A,Caracas,3,2,0,0,4,0,4.65823884,-74.06206854,{DF650332-CCAA-402B-A74F-2A4CC31942B0},,,TECNICA,2022/08/24 16:48:03+00,,9122,Valor SI al campo,
-74.0498216437422,4.73089336422896,29,02104,Calle 146,1003071.5916,1014894.6251,Calle 146,Autonorte,3,1,0,0,4,0,4.73089336,-74.04982164,{E890BE4D-FB1F-4E1C-B34A-D60A9D01E638},,,TECNICA,2022/06/02 16:23:12+00,,2104,Valor SI al campo,Valor NO al campo
